datetime [AKST],HO [molec cm^-3],HO2 [molec cm^-3],H2O2 [molec cm^-3],O3 [molec cm^-3],NO2 [molec cm^-3],NO [molec cm^-3],HONO [molec cm^-3],NO3 [molec cm^-3]
25-Jan-2022 00:00:00,2.64156476429153e-10,2.64156476429153e-10,2.64156476429153e-10,924547667502.034,2.64156476429153e-10,2.64156476429153e-10,2.64156476429153e-10,2.64156476429153e-10
25-Jan-2022 00:05:00,57380.1712992375,1242846.78442831,3439322.10935055,775006119993.558,157932837585.419,11307830773.2414,1129220969.41425,3725363.40460628
25-Jan-2022 00:10:00,58025.6985578372,1277728.26143307,6275755.044657,700924581015.626,235373875998.999,14528935636.3944,1738911719.12539,3723817.33709023
25-Jan-2022 00:15:00,57796.8740665657,1295488.49628941,8595352.15759414,654479541264.347,283575820444.891,16911899595.4226,2255894043.50692,3600039.06142514
25-Jan-2022 00:20:00,57452.4491326981,1305368.2182076,10405326.5203789,625247900621.226,313698224517.738,18547021915.9984,2682234196.22682,3504779.57583599
25-Jan-2022 00:25:00,57050.8817032728,1314187.91571072,11716000.7420148,608309307741.602,330972555851.179,19419283234.6639,3004776891.84339,3464373.01042746
25-Jan-2022 00:30:00,56682.384396655,1321358.96253632,12625686.3356296,599011250804.215,340312329363.487,19816739910.3108,3236622002.79802,3456993.01217725
25-Jan-2022 00:35:00,56399.2099690047,1319496.83063622,13279569.7289965,592269713870.899,347054022073.999,20218729917.9898,3421547235.37118,3440607.03624196
25-Jan-2022 00:40:00,56103.2206180726,1309903.53151363,13805023.5492101,585608256540.389,353769809441.766,20711417779.3637,3585296241.1624,3408414.94850218
25-Jan-2022 00:45:00,55756.361348066,1297480.2021584,14224466.0991151,579508557645.188,359931473628.016,21161829438.4325,3729799148.97761,3376238.33096574
25-Jan-2022 00:50:00,55524.8225417266,1304176.1284134,14469702.2363179,577021117975.154,361886155451.032,21085103133.6628,3819931379.93342,3407255.44384647
25-Jan-2022 00:55:00,55342.080753091,1320560.88393416,14473141.327574,579802272231.134,358457674221.066,20518895286.366,3837686527.61763,3483998.13194271
25-Jan-2022 01:00:00,55241.2388057469,1339841.0952588,14292698.658854,585585028917.277,352058523720.977,19779754701.7957,3803744675.78253,3579465.87168379
25-Jan-2022 01:05:00,54958.4226171452,1346057.84056944,14005511.3065328,592706870538.924,344864844705.478,19093622743.6829,3736457573.69141,3654773.58301348
