Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,sea_level_pressure_set_1,sea_level_pressure_set_1d
12/30/2021 22:00 AKST,101015.92,-17,70.94,,101207.33
12/30/2021 22:05 AKST,101015.92,-17,77.39,,101207.33
12/30/2021 22:10 AKST,101015.92,-17,70.94,,101207.33
12/30/2021 22:15 AKST,101015.92,-17,70.94,,101207.33
12/30/2021 22:20 AKST,100982.06,-17,70.94,,101173.4
12/30/2021 22:25 AKST,100982.06,-17,77.39,,101173.4
12/30/2021 22:30 AKST,100948.2,-17,70.94,,101139.47
12/30/2021 22:35 AKST,100948.2,-17,77.39,,101139.47
12/30/2021 22:40 AKST,100914.33,-17,77.39,,101105.55
12/30/2021 22:45 AKST,100914.33,-17,77.39,,101105.55
12/30/2021 22:50 AKST,100914.33,-16,71.16,,101098.65
12/30/2021 22:53 AKST,100880.47,-16.1,77.57,101030,101065.41
12/30/2021 22:55 AKST,100880.47,-16,77.57,,101064.72
12/30/2021 23:00 AKST,100880.47,-16,77.57,,101064.72
12/30/2021 23:05 AKST,100880.47,-16,77.57,,101064.72
12/30/2021 23:10 AKST,100846.6,-16,77.57,,101030.79
12/30/2021 23:15 AKST,100846.6,-16,77.57,,101030.79
12/30/2021 23:20 AKST,100846.6,-16,77.57,,101030.79
12/30/2021 23:25 AKST,100812.74,-16,77.57,,100996.87
12/30/2021 23:30 AKST,100812.74,-16,77.57,,100996.87
12/30/2021 23:35 AKST,100812.74,-16,77.57,,100996.87
12/30/2021 23:40 AKST,100812.74,-16,77.57,,100996.87
12/30/2021 23:45 AKST,100778.88,-16,77.57,,100962.94
12/30/2021 23:50 AKST,100778.88,-15,71.38,,100956.11
12/30/2021 23:53 AKST,100778.88,-15,71.38,100920,100956.11
12/30/2021 23:55 AKST,100778.88,-15,71.38,,100956.11
12/31/2021 00:00 AKST,100778.88,-14,71.6,,100949.33
12/31/2021 00:05 AKST,100745.01,-14,71.6,,100915.4
12/31/2021 00:10 AKST,100745.01,-14,71.6,,100915.4
12/31/2021 00:15 AKST,100745.01,-14,71.6,,100915.4
12/31/2021 00:20 AKST,100745.01,-14,71.6,,100915.4
12/31/2021 00:25 AKST,100745.01,-14,71.6,,100915.4
12/31/2021 00:30 AKST,100745.01,-14,71.6,,100915.4
12/31/2021 00:35 AKST,100745.01,-14,65.74,,100915.4
12/31/2021 00:40 AKST,100711.15,-14,65.74,,100881.48
12/31/2021 00:45 AKST,100711.15,-15,71.38,,100888.26
12/31/2021 00:50 AKST,100711.15,-15,71.38,,100888.26
12/31/2021 00:53 AKST,100711.15,-15.6,77.57,100860,100892.35
12/31/2021 00:55 AKST,100711.15,-16,77.57,,100895.09
12/31/2021 01:00 AKST,100677.29,-15,71.38,,100854.34
12/31/2021 01:05 AKST,100711.15,-15,71.38,,100888.26
12/31/2021 01:10 AKST,100711.15,-15,71.38,,100888.26
12/31/2021 01:15 AKST,100677.29,-15,71.38,,100854.34
12/31/2021 01:20 AKST,100677.29,-16,77.57,,100861.17
12/31/2021 01:25 AKST,100677.29,-16,77.57,,100861.17
12/31/2021 01:30 AKST,100677.29,-16,71.16,,100861.17
12/31/2021 01:35 AKST,100677.29,-16,77.57,,100861.17
12/31/2021 01:40 AKST,100677.29,-16,71.16,,100861.17
12/31/2021 01:45 AKST,100677.29,-16,71.16,,100861.17
12/31/2021 01:50 AKST,100643.42,-16,71.16,,100827.24
12/31/2021 01:53 AKST,100643.42,-15.6,71.16,100810,100824.5
12/31/2021 01:55 AKST,100643.42,-16,71.16,,100827.24
12/31/2021 02:00 AKST,100643.42,-15,71.38,,100820.41
12/31/2021 02:05 AKST,100643.42,-15,71.38,,100820.41
12/31/2021 02:10 AKST,100643.42,-15,65.49,,100820.41
12/31/2021 02:15 AKST,100643.42,-15,65.49,,100820.41
12/31/2021 02:20 AKST,100609.56,-15,65.49,,100786.49
12/31/2021 02:25 AKST,100609.56,-15,65.49,,100786.49
12/31/2021 02:30 AKST,100609.56,-15,71.38,,100786.49
12/31/2021 02:35 AKST,100609.56,-15,65.49,,100786.49
12/31/2021 02:40 AKST,100609.56,-15,65.49,,100786.49
12/31/2021 02:45 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 02:50 AKST,100609.56,-15,65.49,,100786.49
12/31/2021 02:53 AKST,100575.69,-15,65.49,100740,100752.57
12/31/2021 02:55 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:00 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:05 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:10 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:15 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:20 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:25 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:30 AKST,100575.69,-15,65.49,,100752.57
12/31/2021 03:35 AKST,100541.83,-15,65.49,,100718.64
12/31/2021 03:40 AKST,100541.83,-15,65.49,,100718.64
