Time_AKST,BB-SL,HO,Aged,BB-LL,O3,Traffic
01/19/22 00:00,0.71513,0.66074,2.2168,1.3368,-0.2,0.66306
01/19/22 01:00,0.20554,0.53099,2.3173,1.1698,-0.2,0.5688
01/19/22 02:00,0.29771,0.72424,2.1889,0.5529,-0.2,0.16251
01/19/22 03:00,0.44026,0.61797,2.1589,1.0099,-0.2,0.14269
01/19/22 04:00,0.9367,0.36282,2.3588,1.1505,-0.2,0.98378
01/19/22 05:00,0.66019,0.46766,2.3899,0.66336,-0.2,1.211
01/19/22 06:00,0.87821,0.76259,2.208,1.225,-0.2,1.2089
01/19/22 07:00,0.31624,0.98259,2.0568,1.1939,-0.2,3.0261
01/19/22 08:00,0.96992,1.8665,0.95327,1.2555,0.6632,4.8126
01/19/22 09:00,1.9022,1.9856,1.636,0.65595,-0.2,3.8978
01/19/22 10:00,1.1736,2.8673,1.0959,1.0139,-0.2,3.9648
01/19/22 11:00,0.88697,1.2798,1.9718,1.6762,-0.2,2.387
01/19/22 12:00,0.51594,0.88805,2.3087,1.3463,-0.2,3.7141
01/19/22 13:00,1.0825,1.7685,1.8509,0.6227,-0.2,2.6608
01/19/22 14:00,2.641,2.0048,1.4691,1.2839,0.10007,2.3773
01/19/22 15:00,3.6524,2.9469,0.91929,1.7829,0.047993,2.7906
01/19/22 16:00,2.4055,2.5067,1.269,1.0665,0.0053132,3.9191
01/19/22 17:00,2.3651,2.035,1.3584,1.9661,0.010674,2.9135
01/19/22 18:00,0.83008,1.1106,1.7286,2.0161,0.057747,2.0338
01/19/22 19:00,1.1953,1.1532,1.4292,3.0537,0.16013,0.73972
01/20/22 00:00,0.46628,1.2019,1.2983,1.4239,0.42249,0.096866
01/20/22 01:00,1.5618,1.5614,1.4194,1.6434,0.16089,0.011248
01/20/22 02:00,0.79598,0.51902,1.6141,1.0558,0.49031,0.34832
01/20/22 03:00,0.15179,0.67908,1.3319,0.82465,0.72227,0.19736
01/20/22 04:00,0.05896,0.77863,1.1528,1.334,0.69855,0.013105
01/20/22 05:00,-0.0023633,0.43834,0.96365,1.1405,1.2652,-0.10731
01/20/22 06:00,0.351,2.7092,0.8831,1.1399,0.070092,0.46286
01/20/22 07:00,1.5093,4.2687,0.16479,1.4868,0.00057161,1.86
01/20/22 08:00,1.3452,3.5395,0.56511,1.7365,0.0090291,2.0885
01/20/22 09:00,1.0948,2.1715,1.218,1.1524,0.0039588,1.9341
01/20/22 10:00,1.1449,1.7165,1.4781,1.4477,0.024716,2.0629
01/20/22 11:00,2.4845,1.643,1.457,1.9041,0.099465,1.5172
01/20/22 12:00,3.1513,2.2407,1.2542,1.7142,0.078488,3.0715
01/20/22 13:00,4.2454,2.3441,1.2579,1.54,0.066449,3.6515
01/20/22 14:00,5.638,2.1921,1.225,2.3722,0.043948,3.9146
01/20/22 15:00,0.54494,-0.2,2.6813,-0.2,0.048815,2.774
01/20/22 18:00,0.93729,2.5949,1.0777,1.6489,-0.052115,5.7696
01/20/22 19:00,1.2144,0.87016,1.9094,2.3067,-0.037037,3.95
01/20/22 20:00,2.8832,1.0674,1.7477,2.462,-0.018362,2.4818
01/20/22 21:00,0.5666,0.87354,1.8332,1.3902,0.015293,2.2571
01/20/22 22:00,0.57475,0.47319,1.9654,1.7325,0.07456,0.60694
01/20/22 23:00,3.9454,2.7926,0.76886,2.2921,0.02293,0.56378
01/21/22 00:00,2.7953,1.2579,1.5754,2.2413,0.029834,0.68682
01/21/22 01:00,2.0342,1.1477,1.5711,1.6024,0.16285,0.14197
01/21/22 02:00,1.5323,0.78836,1.6132,1.8942,0.32705,0.033698
