Species_Name,BB-SL,HO,Aged,BB-LL,O3,Traffic
Methanol,14.56615322,0,30.82898571,10.75139286,3.203583798,40.64988441
Acetonitrile,9.1452656,20.26250561,15.21906702,32.89806338,18.79333694,3.681761447
Acetaldehyde,15.70292621,6.715393985,20.62230422,30.90240487,7.518839951,18.53813077
Formic_Acid,0,0,0,91.84934078,8.150659219,0
Ethanol,4.185904082,12.52692113,29.62484615,19.92817657,1.835825164,31.8983269
Acetone,11.38392017,15.43212201,28.35153455,16.69836189,10.58745999,17.54660139
Acetic_Acid,23.85228494,0,15.00599748,49.63326866,5.594619307,5.913829606
Furan,52.22402043,7.131537242,20.02094382,3.877629877,2.309195679,14.43667296
Isoprene,5.140369505,48.44208006,4.296481822,12.10865606,1.869476312,28.14293624
MVK_MACR,30.78776699,11.06314636,21.13162338,13.75413183,4.381305162,18.88202628
MEK,17.49870279,15.41587411,38.29168745,0.504921212,16.83207994,11.4567345
Hydroxyacetone,28.65016406,0.28923959,16.2091488,40.15848909,6.729912489,7.963045968
Benzene,4.048766657,37.85270584,5.269258669,8.349688304,2.563968495,41.91561203
Methylfuran,50.80906347,7.349835004,17.00267953,4.508470218,1.506904947,18.82304683
Pentanone,21.2172401,12.21843985,28.2017974,12.62525908,11.18265105,14.55461253
Toluene,0,35.14827354,3.357554166,9.903969056,0.045710375,51.54449286
Furfural,67.92404829,1.496022018,19.4354503,0,2.074217124,9.070262269
Maleic_Anhydride,64.9669525,11.12738433,0,20.76675596,0,3.138907211
Hexanone,9.412714254,5.522743757,32.10957141,16.94997519,10.49632162,25.50867377
C8_Aromatics,0.602306193,41.41570429,0.085208585,9.40305531,0.136664781,48.35706085
Methylfurfural,53.06074327,1.692015627,22.54401802,4.23128448,6.353049991,12.11888861
C9_Aromatics,0.229334288,36.69433148,3.613637137,10.37911488,0,49.08358221
C10_Aromatics,0.610573501,28.9433519,11.20513899,12.86759159,0.438058866,45.93528515
Monoterpenes,5.759756321,18.5145982,26.18846441,16.87011064,1.893062901,30.77400752
D5_Siloxane,6.504838675,4.740163292,24.26657395,27.3506385,4.204904858,32.93288073
Ozone,0,0,0,0,98.10522641,1.894773592
NO,6.333233912,4.4195479,0,0,3.312048384,85.9351698
NO2,0,25.91961122,65.60824321,0,3.454505811,5.017639767
NOx,2.096222457,11.51416368,28.68813281,0.575828279,2.03117937,55.0944734
Formaldehyde,24.36700034,18.40502681,21.31976942,11.80463012,8.570675923,15.53289739
CO,3.843181195,23.36456242,15.68290279,5.892155379,8.40568094,42.81151728
CO2,1.164118837,22.63803749,41.13809728,3.132589926,28.92801579,2.999140671
CH4,1.226948446,22.35737923,43.10075224,2.056540996,31.25837909,0
OA,17.41709109,32.87920257,9.007462775,6.283524515,0,34.41271905
SO4,4.103585729,59.41763943,9.220227543,1.835650764,4.195927917,21.22696861
NO3,1.147825956,35.39102648,26.84488459,8.567266657,0,28.04899632
NH4,0.337263082,50.4365291,14.44647951,5.681508182,1.510731609,27.58748851
Chl,7.940454647,21.92020549,27.09932336,9.445686136,9.869329599,23.72500077
TNRM,14.82797,41.4478587,9.323590612,5.18451488,0.979917735,28.23614808
